Keynote,File,Edit,Insert,Slide,Format,Arrange,View,Play,Share,Window,Help,*View,*Zoom,*Add Slide,*Play,*Table,*Chart,*Text,*Shape,*Media ,*Comment,*Share,*Tips,*Format,*Animate ,*Document
Quit Keynote,Print...,Undo,Column Break,New Slide,Font,Bring Forward,Inspector,Customize Presenter Display...,Share Link via iCloud...,Minimize,Service and Support,Navigator,25%,Add a Slide,,,2D,,Draw with Pen,Photos,,Share Link via iCloud...,,Style ,Build In,Document
Show All,Save Theme...,Redo,Table,Skip Slide,> Show Fonts,Bring to Front,> Format,Rehearse Slideshow,Send a Copy,Zoom,What's New in Keynote,Slide Only,50%,,,,3D,,,Music ,,Send a Copy,,Text ,Action ,
Hide Others,Change Theme...,Cut,> Headers,Expand,> Bold,Send Backward,> Animate,Clear Recording...,> Mail,Zoom All,Formulas and Functions Help,Light Table,75%,,,,Interactive,,,Movies,,> Mail,,Arrange,Build Out,
Hide Keynote,Set Password...,Copy,> Basic,Expand All,> Italic,Send to Back,> Document,Record Slideshow...,> Messages,Bring All to Front,Keyboard Shortcuts,Outline,100%,,,,,,,,,> Messages,,,,
About Keynote,New...,Paste,> Plain,Collapse,> Underline,Align Objects,> Show Next Inspector Tab,Play Recorded Slideshow,> AirDrop,Untitled,Keynote Help,Edit Master Slides,125%,,,,,,,,,> AirDrop,,,,
Preferences,Open...,Paste and Match Style,> Sums,Collapse All,> Strikethrough,> Left,> Show Previous Inspector Tab,Play Slideshow,> Notes,,Search,Show Find & Replace,150%,,,,,,,,,> Notes,,,,
Provide Keynote Feedback,Open Recent,Paste Formula Results,Chart,Show Slide Numbers on All Slides,> Outline,> Center,Navigator,,> YouTube,,,Show Rulers,200%,,,,,,,,,> YouTube,,,,
Services,> Clear Menu,Delete,> 2D Column,Copy Guides,> Bigger,> Right,Slide Only,,> Add to Photos,,,Hide Comments,300%,,,,,,,,,> Add to Photos,,,,
,Close,Clear All,> 2D Stacked Column,Paste Guides,> Smaller,> Top,Light Table,,> Facebook,,,Show Presenter Notes,400%,,,,,,,,,> Facebook,,,,
,Save...,Duplicate Section,> 2D Bar,Go To,> Character Spacing,> Middle,Outline,,> Flickr,,,,Fit in Window,,,,,,,,,> Flickr,,,,
,Duplicate,Select All,> 2D Stacked Bar,> Next Slide,>> Use None,Distribute Objects,Edit Master Slides,,> Vimeo,,,,,,,,,,,,,> Vimeo,,,,
,Rename...,Deselect All,> 2D Line,> Previous Slide,>> Tighten,> Horizontally,Show Presenter Notes,,,,,,,,,,,,,,,,,,,
,Move To...,Select Parent,> 2D Area,> First Slide,>> Loosen,> Vertically,Show Rulers,,,,,,,,,,,,,,,,,,,
,Revert To,Remove Highlights and Comments,> 2D Stacked Area,> Last Slide,> Ligature,> Evenly,Guides,,,,,,,,,,,,,,,,,,,
,Export To,Find,> 2D Pie,,>> Use Default,Flip Horizontally,> Hide Guides,,,,,,,,,,,,,,,,,,,
,> PDF...,> Find...,> 2D Scatter,,>> Use None,Flip Vertically,> Show Master Guides,,,,,,,,,,,,,,,,,,,
,> PowerPoint...,> Find Next,> 2D Bubble,,>> Use All,Lock,> Clear All Guides on Slide,,,,,,,,,,,,,,,,,,,
,> QuickTime..,> Find Previous,> 2D Mixed,,> Baseline,Unlock,Comments,,,,,,,,,,,,,,,,,,,
,> HTML...,> Hide Find Panel,> 2D 2>Axis,,>> Use Default,Group,> Hide Comments,,,,,,,,,,,,,,,,,,,
,> Images...,> Use Selection for Find,> 3D Column,,>> Superscript,Ungroup,> Show previous Comment,,,,,,,,,,,,,,,,,,,
,> Keynote 09...,> Use Selection for Replace,> 3D Stacked Column,,>> Subscript,,> Show previous Comment,,,,,,,,,,,,,,,,,,,
,Advanced,> Jump to Selection,> 3D Bar,,>> Raise,,> Author Color,,,,,,,,,,,,,,,,,,,
,> Reduce File Size,Spelling and Grammar,> 3D Stacked Bar,,>> Lower,,>> Yellow,,,,,,,,,,,,,,,,,,,
,> Optimize Movies for iOS,> Show Spelling and Grammar,> 3D Line,,> Capitalization,,>> Green,,,,,,,,,,,,,,,,,,,
,> Change File Type,> Check Document Now,> 3D Area,,>> None,,>> Blue,,,,,,,,,,,,,,,,,,,
,,> Check Spelling While Typing,> 3D Stacked Area,,>> All Caps,,>> Pink,,,,,,,,,,,,,,,,,,,
,,> Check Grammar With Spelling,> 3D Pie,,>> Small Caps,,>> Purple,,,,,,,,,,,,,,,,,,,
,,> Correct Spelling Automatically,> Interactive Column,,>> Title Case,,>>Teal,,,,,,,,,,,,,,,,,,,
,,Substitutions,> Interactive Bar,,Text,,>> Orange,,,,,,,,,,,,,,,,,,,
,,> Show Substitutions,> Interactive Scatter,,> Align Left,,>> Red,,,,,,,,,,,,,,,,,,,
,,> Smart Quotes,> Interactive Bubble,,> Align Center,,>> Brown,,,,,,,,,,,,,,,,,,,
,,> Smart Dashes,Text Box,,> Alight Right,,>> GrayBlue,,,,,,,,,,,,,,,,,,,
,,> Smart Links,Shape,,> Justify,,Show Arranged Tools,,,,,,,,,,,,,,,,,,,
,,> Text Replacement,> Rectangle,,> Auto>Align Table Cell,,Show Build Order,,,,,,,,,,,,,,,,,,,
,,Transformations,> Rounded Rectangle,,> Increase Indent Level,,Show Colors,,,,,,,,,,,,,,,,,,,
,,> Make Upper Case,> Oval,,> Decrease Indent Level,,Show Adjust Image,,,,,,,,,,,,,,,,,,,
,,> Make Lower Case,> Triangle,,> Reverse Text Direction,,Zoom,,,,,,,,,,,,,,,,,,,
,,> Capitalize,> Right Triangle,,Table,,> Zoom In,,,,,,,,,,,,,,,,,,,
,,Start Dictation,> Arrow,,> Add Row Above,,> Zoom Out,,,,,,,,,,,,,,,,,,,
,,Speech,> Double Arrow,,> Add Row Below,,> Actual Size,,,,,,,,,,,,,,,,,,,
,,,> Diamond,,> Add Column Before,,> Fit in Window,,,,,,,,,,,,,,,,,,,
,,,> Quote Bubble,,> Add Column After,,> Zoom to Selection,,,,,,,,,,,,,,,,,,,
,,,> Callout,,> Delete Row,,Show Warnings,,,,,,,,,,,,,,,,,,,
,,,> Polygon,,> Delete Column,,Enter Fullscreen,,,,,,,,,,,,,,,,,,,
,,,> Star,,> Header Rows,,Hide Toolbar,,,,,,,,,,,,,,,,,,,
,,,Line,,>> 0,,Customize Toolbar...,,,,,,,,,,,,,,,,,,,
,,,> Line,,>> 1,,,,,,,,,,,,,,,,,,,,,
,,,> Line with Arrowhead,,>> 2,,,,,,,,,,,,,,,,,,,,,
,,,> Line with Two Arrowheads,,>> 3,,,,,,,,,,,,,,,,,,,,,
,,,> Straight Connection Line,,>> 4,,,,,,,,,,,,,,,,,,,,,
,,,> Curved Connection Line,,>> 5,,,,,,,,,,,,,,,,,,,,,
,,,> Angled Connection Line,,> Header Columns,,,,,,,,,,,,,,,,,,,,,
,,,> Draw with Pen,,>> 0,,,,,,,,,,,,,,,,,,,,,
,,,Highlight,,>> 1,,,,,,,,,,,,,,,,,,,,,
,,,Comment,,>> 2,,,,,,,,,,,,,,,,,,,,,
,,,Formula,,>> 3,,,,,,,,,,,,,,,,,,,,,
,,,> Sum,,>> 4,,,,,,,,,,,,,,,,,,,,,
,,,> Average,,>> 5,,,,,,,,,,,,,,,,,,,,,
,,,> Minimum,,> Footer Rows,,,,,,,,,,,,,,,,,,,,,
,,,> Maximum,,>> 0,,,,,,,,,,,,,,,,,,,,,
,,,> Count,,>> 1,,,,,,,,,,,,,,,,,,,,,
,,,> Product,,>> 2,,,,,,,,,,,,,,,,,,,,,
,,,> Edit Formula,,>> 3,,,,,,,,,,,,,,,,,,,,,
,,,MathType Equation,,>> 4,,,,,,,,,,,,,,,,,,,,,
,,,Choose...,,>> 5,,,,,,,,,,,,,,,,,,,,,
,,,,,> Resize Row to Fit Content,,,,,,,,,,,,,,,,,,,,,
,,,,,> Resize Column to Fit Content,,,,,,,,,,,,,,,,,,,,,
,,,,,> Distribute Rows Evenly,,,,,,,,,,,,,,,,,,,,,
,,,,,> Distribute Columns Evenly,,,,,,,,,,,,,,,,,,,,,
,,,,,> Autofill Cells,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Right,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Left,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Down,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Up,,,,,,,,,,,,,,,,,,,,,
,,,,,> Merge Cells,,,,,,,,,,,,,,,,,,,,,
,,,,,> Unmerge Cells,,,,,,,,,,,,,,,,,,,,,
,,,,,Chart,,,,,,,,,,,,,,,,,,,,,
,,,,,> Chart Type,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Stacked Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Stacked Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Line,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Stacked Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Pie,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Scatter,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Bubble,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Mixed,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D 2>Axis,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Stacked Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Stacked Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Line,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Stacked Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Pie,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Scatter,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Bubble,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Chart Data Editor,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Borders,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis 2 Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis 2 Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show X Axis Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show X Axis Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Series Names,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Series Value Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,Shapes and Lines,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Editable,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Motion Path from Shape,,,,,,,,,,,,,,,,,,,,,
,,,,,> Reset Text and Object Handles,,,,,,,,,,,,,,,,,,,,,
,,,,,> Unite Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Intersect Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Subtract Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Exclude Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Sharp Point,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Smooth Point,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Bezier Point,,,,,,,,,,,,,,,,,,,,,
,,,,,> Toggle Line Type,,,,,,,,,,,,,,,,,,,,,
,,,,,Image,,,,,,,,,,,,,,,,,,,,,
,,,,,> Edit Mask,,,,,,,,,,,,,,,,,,,,,
,,,,,> Reset Mask,,,,,,,,,,,,,,,,,,,,,
,,,,,> Mask with Shape,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Rounded Rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Oval,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Triangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Right Triangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Arrow,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Double Arrow,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Diamond,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Quote Bubble,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Callout,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Star,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Polygon,,,,,,,,,,,,,,,,,,,,,
,,,,,> Instant Alpha,,,,,,,,,,,,,,,,,,,,,
,,,,,> Remove Instant Alpha,,,,,,,,,,,,,,,,,,,,,
,,,,,Movie,,,,,,,,,,,,,,,,,,,,,
,,,,,> Optimize Movie for iOS,,,,,,,,,,,,,,,,,,,,,
,,,,,Copy Style,,,,,,,,,,,,,,,,,,,,,
,,,,,Paste Style,,,,,,,,,,,,,,,,,,,,,
,,,,,Copy Animation,,,,,,,,,,,,,,,,,,,,,
,,,,,Paste Animation,,,,,,,,,,,,,,,,,,,,,
,,,,,Conditional Highlighting,,,,,,,,,,,,,,,,,,,,,
,,,,,Add Link,,,,,,,,,,,,,,,,,,,,,
,,,,,Remove Link,,,,,,,,,,,,,,,,,,,,,
,,,,,Phonetic Guide Text...,,,,,,,,,,,,,,,,,,,,,
,,,,,Remove Phonetic Guide Text,,,,,,,,,,,,,,,,,,,,,
,,,,,Reapply Master to Slide,,,,,,,,,,,,,,,,,,,,,
,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,
,,,,,> Create Shape Style,,,,,,,,,,,,,,,,,,,,,
,,,,,> Define as Text Place Holder,,,,,,,,,,,,,,,,,,,,,
,,,,,> Define as Media Place Holder,,,,,,,,,,,,,,,,,,,,,
,,,,,> Set as Default Text Box Appearance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
