Send/Receive AllÂ ,Button,,,
Undo,Button,,,
Customize Quick Bar,Dropdown,,,
,Options,List,12,
,More Commands,Button,,
,Show Below,Toggle,,
File,PopUp,,,
,Info,Tab,,
,,Select Account,Dropdown,
,,Add Account,PopUp,
,,Account Settings,Dropdown,
,,,Account Settings,Button
,,,Social Networks,Button
,,,Delegate Access,Button
,,,Download Address Book,Button
,,,Manage Mobile Notifications,Button
,,Automatic Replies,PopUp,
,,Cleanup Tools,Dropdown,
,,,Mailbox Cleanup,PopUp
,,,Empty Deleted Items,Button
,,,Archive,PopUp
,,Rules and Alerts,PopUp,
,,Manage Add-ins,Out of Scope,
,Open & Export,Tab,,
,Save As,Tab,,
,Save Attachments,Tab,,
,Print,Tab,,
,Office Account,Tab,,
,Options,Tab,,
,Exit,Tab,,
Add Account ,PopUp,,,
,Automatic,Radio Button,,
,,Name,Text Field,
,,Email Address,Text Field,
,,Password,Text Field,
,,Retype Password,Text Field,
,Manual Setup,Radio Button,,
,,Microsoft Exchange Server,Option,
,,Outlook.com,Option,
,,POP or IMAP,Option,
Automatic Replies,PopUp,,,
,Time Range,Time,,
,Organization Reply,Text Field,,
,Outside Org Reply,Text Field,,
,Rules,PopUp,,
,Ok,Button,,
,Cancel,Button,,
Automatic Reply Rules,PopUp,,,
,Rules,List,N,
,Add Rule,Button,,
,Edit Rule,Button,,
,Delete Rule,Button,,
,Show for all Profiles,Checkbox,,
,Move Up,Button,,
,Move Down,Button,,
,Ok,Button,,
,Cancel,Button,,
Mailbox Cleanup,PopUp,,,
,View Mailbox Size,Button,,
,Find Items Older,Number,,
,Find Items Larger,Number,,
,Find,Button,,
,Auto Archive,Button,,
,Empty Deleted Items,Button,,
,View Deleted Items Size,Button,,
,Delete Alternate Versions,Button,,
,View Conflicts Size,Button,,
,Close,Button,,
Archive,PopUp,,,
,Use AutoArchive,Radio Button,,
,Archive these,Radio Button,,
,,Folders,List,N
,Archive items older than,Date,,
,Include 'Do not AutoArchive',Checkbox,,
,Archive file,File Selector,,
,Ok,Button,,
,Cancel,Button,,
Rules and Alerts,PopUp,,,
,Email Rules,Tab,,
,,New Rule,Button,
,,Change Rule,Dropdown,
,,,Edit Rule Settings,Button
,,,Rename Rule,Button
,,,Display in Alert window,Button
,,,Play a sound,Button
,,,Move to folder,Button
,,,Copy to folder,Button
,,,Mark as High Priority,Button
,,,Mark as Low Priority,Button
,,,Delete Message,Button
,,Copy,Button,
,,Delete,Button,
,,Move Up,Button,
,,Move Down,Button,
,,Run Rules Now,Button,
,,Options,Button,
,,Ok,Button,
,,Cancel,Button,
,,Apply,Button,
,Manage Alerts,Tab,,
,,New Alert,Button,
,,Alert Properties,Button,
,,Delete,Button,
,,Create Rule,Button,
,,Alerts,List,N
,,Ok,Button,
,,Cancel,Button,
,,Apply,Button,
Compose Page,To,dropdown,list,
,to,textfield,,
,Cc,dropdown,list,
,cc,textfield,,
,subject,textfield,,
,message,textfield,,
,font options,list,N,
,send,button,,
,discard,button,,
,send options,list,,
